Elevation,Slope,Aspect,x,y,ID,VsI,VsL,Vd
4076.39,69.3,33.3,358914.011,3123949.771,2,0.638,0.754,0.299
4074.85,71.9,33.3,358915.011,3123949.771,2,0.623,0.728,0.304
4072.43,70.4,33.3,358916.011,3123949.771,2,0.594,0.685,0.308
4070.92,63.5,32.8,358917.011,3123949.771,2,0.584,0.666,0.311
4071.21,58.4,31.9,358918.011,3123949.771,2,0.597,0.682,0.311
4090.96,59.2,31.6,358895.011,3123948.771,2,0.732,0.958,0.421
4090.00,56.7,31.4,358896.011,3123948.771,2,0.718,0.930,0.426
4089.26,50.0,31.8,358897.011,3123948.771,2,0.709,0.910,0.421
4088.92,46.6,31.8,358898.011,3123948.771,2,0.707,0.909,0.412
4088.37,45.6,32.0,358899.011,3123948.771,2,0.703,0.899,0.398
4087.77,45.1,32.7,358900.011,3123948.771,2,0.698,0.891,0.387
4087.18,46.4,33.0,358901.011,3123948.771,2,0.695,0.881,0.373
4086.39,48.8,32.8,358902.011,3123948.771,2,0.687,0.869,0.365
4085.99,52.3,33.0,358903.011,3123948.771,2,0.688,0.867,0.353
4085.22,55.8,33.4,358904.011,3123948.771,2,0.683,0.857,0.349
4084.32,56.1,33.8,358905.011,3123948.771,2,0.675,0.842,0.336
4083.69,54.1,33.6,358906.011,3123948.771,2,0.674,0.837,0.328
4083.23,52.0,33.6,358907.011,3123948.771,2,0.676,0.836,0.320
4082.63,50.1,33.6,358908.011,3123948.771,2,0.675,0.833,0.315
4082.01,51.6,33.7,358909.011,3123948.771,2,0.674,0.826,0.306
4081.19,55.2,33.2,358910.011,3123948.771,2,0.669,0.817,0.298
4080.23,57.9,33.3,358911.011,3123948.771,2,0.661,0.802,0.294
4079.35,58.2,33.6,358912.011,3123948.771,2,0.656,0.792,0.292
4078.53,57.4,33.4,358913.011,3123948.771,2,0.651,0.780,0.294
4078.16,60.9,33.2,358914.011,3123948.771,2,0.654,0.783,0.294
4076.95,67.5,33.2,358915.011,3123948.771,2,0.643,0.762,0.297
4075.28,71.4,33.3,358916.011,3123948.771,2,0.624,0.733,0.299
4073.17,70.3,32.7,358917.011,3123948.771,2,0.599,0.696,0.304
4072.65,68.0,32.0,358918.011,3123948.771,2,0.602,0.696,0.309
4090.28,54.9,31.4,358897.011,3123947.771,2,0.722,0.936,0.412
4089.66,48.1,31.5,358898.011,3123947.771,2,0.714,0.923,0.406
4089.17,45.3,31.7,358899.011,3123947.771,2,0.710,0.915,0.400
4088.62,45.5,32.3,358900.011,3123947.771,2,0.706,0.907,0.391
4087.96,47.3,32.9,358901.011,3123947.771,2,0.700,0.894,0.382
4087.51,48.0,32.9,358902.011,3123947.771,2,0.699,0.891,0.368
4087.03,48.8,33.4,358903.011,3123947.771,2,0.698,0.885,0.360
4086.52,51.5,33.8,358904.011,3123947.771,2,0.696,0.882,0.351
4085.58,52.3,35.1,358905.011,3123947.771,2,0.688,0.865,0.340
4084.93,49.4,34.0,358906.011,3123947.771,2,0.686,0.859,0.327
4084.36,48.5,34.2,358907.011,3123947.771,2,0.684,0.853,0.323
4083.51,48.6,34.2,358908.011,3123947.771,2,0.679,0.842,0.315
4082.74,48.1,34.4,358909.011,3123947.771,2,0.675,0.832,0.309
4082.07,49.5,33.3,358910.011,3123947.771,2,0.672,0.826,0.305
4081.57,53.0,33.3,358911.011,3123947.771,2,0.673,0.823,0.302
4081.03,56.7,33.3,358912.011,3123947.771,2,0.673,0.821,0.299
4080.21,57.1,33.4,358913.011,3123947.771,2,0.668,0.809,0.294
4079.32,56.7,32.9,358914.011,3123947.771,2,0.661,0.797,0.293
4078.57,61.1,33.0,358915.011,3123947.771,2,0.658,0.789,0.298
4077.52,66.9,33.1,358916.011,3123947.771,2,0.648,0.773,0.301
4076.80,70.9,32.2,358917.011,3123947.771,2,0.646,0.766,0.301
4074.75,71.0,31.9,358918.011,3123947.771,2,0.619,0.726,0.307
4090.83,57.2,31.3,358898.011,3123946.771,2,0.731,0.957,0.399
4089.90,54.2,31.4,358899.011,3123946.771,2,0.718,0.929,0.401
4089.50,49.1,32.8,358900.011,3123946.771,2,0.715,0.925,0.392
4088.93,45.6,33.1,358901.011,3123946.771,2,0.710,0.913,0.386
4088.51,44.9,33.3,358902.011,3123946.771,2,0.709,0.911,0.376
4087.92,46.4,34.2,358903.011,3123946.771,2,0.705,0.901,0.364
4087.20,47.9,34.9,358904.011,3123946.771,2,0.699,0.890,0.355
4086.46,49.3,35.4,358905.011,3123946.771,2,0.694,0.878,0.345
4085.66,47.2,35.2,358906.011,3123946.771,2,0.689,0.866,0.338
4085.08,45.7,35.1,358907.011,3123946.771,2,0.687,0.860,0.327
4084.33,46.7,35.1,358908.011,3123946.771,2,0.683,0.852,0.320
4083.70,46.9,34.6,358909.011,3123946.771,2,0.681,0.845,0.314
4083.05,46.8,33.6,358910.011,3123946.771,2,0.678,0.839,0.307
4082.63,47.1,33.6,358911.011,3123946.771,2,0.680,0.838,0.306
4082.13,49.4,33.6,358912.011,3123946.771,2,0.681,0.837,0.302
4081.32,52.8,33.8,358913.011,3123946.771,2,0.676,0.825,0.298
4080.52,54.6,33.2,358914.011,3123946.771,2,0.670,0.815,0.288
4079.89,57.1,32.8,358915.011,3123946.771,2,0.669,0.808,0.293
4079.32,59.2,32.8,358916.011,3123946.771,2,0.668,0.804,0.297
4079.10,63.9,32.0,358917.011,3123946.771,2,0.673,0.809,0.300
4077.67,66.2,31.7,358918.011,3123946.771,2,0.657,0.783,0.300
4076.30,64.8,31.8,358919.011,3123946.771,2,0.641,0.759,0.304
4076.00,71.2,31.5,358920.011,3123946.771,2,0.645,0.762,0.309
4089.62,54.1,33.6,358901.011,3123945.771,2,0.717,0.926,0.384
4089.33,47.8,33.8,358902.011,3123945.771,2,0.717,0.927,0.375
4088.76,48.4,34.6,358903.011,3123945.771,2,0.714,0.917,0.368
4088.12,49.8,35.1,358904.011,3123945.771,2,0.709,0.907,0.362
4087.43,49.8,36.1,358905.011,3123945.771,2,0.704,0.895,0.353
4086.57,48.0,35.1,358906.011,3123945.771,2,0.696,0.881,0.341
4085.77,46.1,34.8,358907.011,3123945.771,2,0.690,0.868,0.335
4085.10,45.2,34.8,358908.011,3123945.771,2,0.687,0.860,0.328
4084.41,45.0,34.2,358909.011,3123945.771,2,0.683,0.852,0.323
4083.97,45.3,33.3,358910.011,3123945.771,2,0.684,0.851,0.321
4083.50,45.7,32.5,358911.011,3123945.771,2,0.686,0.849,0.314
4082.88,47.2,33.3,358912.011,3123945.771,2,0.684,0.844,0.311
4082.38,49.0,33.3,358913.011,3123945.771,2,0.684,0.840,0.308
4081.76,49.4,32.0,358914.011,3123945.771,2,0.682,0.835,0.306
4081.34,50.7,32.0,358915.011,3123945.771,2,0.683,0.833,0.303
4080.77,50.6,32.0,358916.011,3123945.771,2,0.682,0.829,0.305
4080.21,53.3,31.9,358917.011,3123945.771,2,0.681,0.824,0.310
4079.01,57.3,30.8,358918.011,3123945.771,2,0.669,0.804,0.310
4078.26,57.7,30.6,358919.011,3123945.771,2,0.664,0.795,0.310
4077.01,64.5,30.1,358920.011,3123945.771,2,0.649,0.772,0.318
4075.65,71.4,29.7,358921.011,3123945.771,2,0.633,0.747,0.325
4074.17,73.5,29.3,358922.011,3123945.771,2,0.616,0.722,0.332
4072.23,72.2,28.8,358923.011,3123945.771,2,0.595,0.689,0.338
4090.34,54.9,35.1,358902.011,3123944.771,2,0.730,0.953,0.374
4089.80,50.8,36.7,358903.011,3123944.771,2,0.726,0.942,0.370
4089.17,51.5,36.7,358904.011,3123944.771,2,0.721,0.932,0.365
4088.08,49.2,36.8,358905.011,3123944.771,2,0.709,0.906,0.356
4087.28,44.4,35.3,358906.011,3123944.771,2,0.702,0.892,0.348
4086.52,45.2,35.1,358907.011,3123944.771,2,0.696,0.880,0.340
4085.83,45.3,35.1,358908.011,3123944.771,2,0.691,0.870,0.333
4085.35,45.5,34.4,358909.011,3123944.771,2,0.691,0.867,0.329
4084.91,45.2,33.6,358910.011,3123944.771,2,0.692,0.866,0.323
4084.36,45.7,32.5,358911.011,3123944.771,2,0.692,0.862,0.320
4083.94,46.6,33.3,358912.011,3123944.771,2,0.693,0.862,0.316
4083.18,46.3,33.3,358913.011,3123944.771,2,0.689,0.851,0.312
4082.55,44.8,32.2,358914.011,3123944.771,2,0.687,0.845,0.308
4082.14,43.7,32.2,358915.011,3123944.771,2,0.688,0.843,0.311
4081.69,45.3,32.5,358916.011,3123944.771,2,0.688,0.842,0.310
4080.90,49.5,31.9,358917.011,3123944.771,2,0.683,0.831,0.314
4079.92,51.1,30.8,358918.011,3123944.771,2,0.674,0.815,0.313
4079.16,53.2,29.9,358919.011,3123944.771,2,0.669,0.805,0.321
4078.62,57.8,29.9,358920.011,3123944.771,2,0.667,0.800,0.324
4077.98,62.6,29.5,358921.011,3123944.771,2,0.663,0.793,0.330
4077.20,67.4,29.3,358922.011,3123944.771,2,0.656,0.782,0.333
4075.82,71.6,28.7,358923.011,3123944.771,2,0.639,0.756,0.339
4073.65,73.1,28.5,358924.011,3123944.771,2,0.610,0.714,0.341
4070.93,70.4,28.1,358925.011,3123944.771,2,0.578,0.665,0.357
4090.85,52.8,37.5,358903.011,3123943.771,2,0.740,0.973,0.371
4090.09,52.6,37.2,358904.011,3123943.771,2,0.733,0.955,0.370
4088.48,50.1,36.8,358905.011,3123943.771,2,0.711,0.908,0.366
4087.83,38.6,35.3,358906.011,3123943.771,2,0.706,0.899,0.356
4087.27,40.0,35.1,358907.011,3123943.771,2,0.703,0.892,0.350
4086.69,42.7,35.1,358908.011,3123943.771,2,0.700,0.886,0.345
4086.33,43.6,34.4,358909.011,3123943.771,2,0.702,0.886,0.341
4085.60,41.8,33.6,358910.011,3123943.771,2,0.697,0.876,0.336
4085.41,42.3,33.3,358911.011,3123943.771,2,0.703,0.881,0.331
4084.55,44.3,33.3,358912.011,3123943.771,2,0.697,0.868,0.327
4084.04,44.4,33.3,358913.011,3123943.771,2,0.697,0.864,0.321
4083.48,45.2,33.2,358914.011,3123943.771,2,0.695,0.860,0.326
4082.97,44.7,33.1,358915.011,3123943.771,2,0.695,0.855,0.322
4082.45,45.1,33.2,358916.011,3123943.771,2,0.693,0.851,0.320
4081.64,46.3,32.0,358917.011,3123943.771,2,0.687,0.839,0.321
4080.91,47.3,30.2,358918.011,3123943.771,2,0.682,0.830,0.322
4080.46,49.9,29.7,358919.011,3123943.771,2,0.682,0.827,0.326
4079.69,51.7,29.7,358920.011,3123943.771,2,0.676,0.816,0.334
4079.14,53.9,29.3,358921.011,3123943.771,2,0.673,0.811,0.337
4078.19,57.5,28.8,358922.011,3123943.771,2,0.662,0.794,0.345
4077.59,64.7,28.4,358923.011,3123943.771,2,0.659,0.787,0.348
4075.75,70.8,28.2,358924.011,3123943.771,2,0.631,0.748,0.359
4074.69,72.8,27.7,358925.011,3123943.771,2,0.621,0.731,0.359
4073.25,73.2,27.7,358926.011,3123943.771,2,0.604,0.707,0.364
4070.28,71.4,27.7,358927.011,3123943.771,2,0.569,0.652,0.375
4069.42,55.3,27.7,358928.011,3123943.771,2,0.564,0.642,0.382
4090.50,54.9,40.3,358904.011,3123942.771,2,0.736,0.967,0.369
4088.93,51.2,36.8,358905.011,3123942.771,2,0.715,0.917,0.366
4088.15,40.5,35.1,358906.011,3123942.771,2,0.707,0.903,0.362
4087.79,36.9,34.2,358907.011,3123942.771,2,0.708,0.902,0.357
4087.53,39.1,34.7,358908.011,3123942.771,2,0.711,0.907,0.347
4086.93,41.7,34.4,358909.011,3123942.771,2,0.707,0.898,0.339
4086.34,41.3,34.0,358910.011,3123942.771,2,0.705,0.893,0.338
4085.96,41.3,33.3,358911.011,3123942.771,2,0.707,0.892,0.333
4085.31,43.3,33.7,358912.011,3123942.771,2,0.704,0.885,0.327
4084.82,44.7,34.2,358913.011,3123942.771,2,0.704,0.880,0.327
4084.30,43.5,34.2,358914.011,3123942.771,2,0.703,0.877,0.322
4083.96,42.9,33.4,358915.011,3123942.771,2,0.706,0.877,0.323
4082.97,43.7,33.4,358916.011,3123942.771,2,0.696,0.859,0.322
4082.24,42.8,32.3,358917.011,3123942.771,2,0.691,0.849,0.323
4081.70,42.8,30.1,358918.011,3123942.771,2,0.689,0.844,0.327
4081.32,44.0,29.3,358919.011,3123942.771,2,0.690,0.843,0.332
4080.80,46.6,29.5,358920.011,3123942.771,2,0.688,0.839,0.332
4080.34,49.8,29.3,358921.011,3123942.771,2,0.687,0.834,0.337
4079.75,53.6,28.6,358922.011,3123942.771,2,0.682,0.827,0.342
4079.04,59.5,28.2,358923.011,3123942.771,2,0.676,0.816,0.351
4078.55,66.1,27.8,358924.011,3123942.771,2,0.674,0.812,0.356
4076.98,68.5,27.7,358925.011,3123942.771,2,0.650,0.778,0.366
4075.95,71.0,27.6,358926.011,3123942.771,2,0.638,0.759,0.369
4074.74,74.6,27.7,358927.011,3123942.771,2,0.623,0.737,0.375
4071.69,74.4,27.6,358928.011,3123942.771,2,0.581,0.675,0.386
4069.67,66.4,25.1,358929.011,3123942.771,2,0.560,0.642,0.398
4068.59,48.7,23.4,358930.011,3123942.771,2,0.553,0.627,0.403
4090.80,55.6,40.5,358904.011,3123941.771,2,0.738,0.971,0.371
4089.85,50.1,36.7,358905.011,3123941.771,2,0.729,0.944,0.371
4088.94,46.1,34.0,358906.011,3123941.771,2,0.718,0.923,0.372
4088.56,40.7,33.9,358907.011,3123941.771,2,0.719,0.920,0.366
4088.10,40.8,34.4,358908.011,3123941.771,2,0.717,0.918,0.360
4087.63,42.3,34.4,358909.011,3123941.771,2,0.716,0.913,0.353
4087.30,44.9,34.2,358910.011,3123941.771,2,0.717,0.914,0.347
4086.54,46.9,34.2,358911.011,3123941.771,2,0.712,0.902,0.343
4086.17,45.0,34.4,358912.011,3123941.771,2,0.714,0.903,0.338
4085.80,43.0,34.4,358913.011,3123941.771,2,0.716,0.901,0.335
4085.07,41.0,34.6,358914.011,3123941.771,2,0.712,0.891,0.336
4084.28,40.7,34.6,358915.011,3123941.771,2,0.705,0.877,0.338
4083.45,41.0,34.4,358916.011,3123941.771,2,0.698,0.863,0.336
4083.08,41.9,32.4,358917.011,3123941.771,2,0.700,0.863,0.337
4082.52,43.0,29.8,358918.011,3123941.771,2,0.698,0.858,0.338
4082.02,43.2,29.2,358919.011,3123941.771,2,0.696,0.853,0.342
4081.61,44.3,29.0,358920.011,3123941.771,2,0.696,0.852,0.345
4081.09,45.4,29.2,358921.011,3123941.771,2,0.693,0.846,0.345
4080.66,48.0,28.5,358922.011,3123941.771,2,0.692,0.842,0.351
4080.40,51.6,28.1,358923.011,3123941.771,2,0.693,0.843,0.355
4080.16,57.7,27.8,358924.011,3123941.771,2,0.696,0.844,0.362
4079.02,62.1,27.4,358925.011,3123941.771,2,0.679,0.820,0.368
4077.92,62.3,27.4,358926.011,3123941.771,2,0.663,0.798,0.377
4077.14,67.6,27.7,358927.011,3123941.771,2,0.654,0.784,0.376
4076.64,74.9,26.6,358928.011,3123941.771,2,0.651,0.779,0.380
4073.03,77.2,25.0,358929.011,3123941.771,2,0.593,0.697,0.399
4072.07,75.3,23.1,358930.011,3123941.771,2,0.585,0.684,0.401
4091.27,50.7,40.5,358904.011,3123940.771,2,0.742,0.990,0.365
4090.66,46.4,35.9,358905.011,3123940.771,2,0.738,0.973,0.367
4089.82,46.3,33.9,358906.011,3123940.771,2,0.731,0.953,0.367
4089.29,44.1,33.8,358907.011,3123940.771,2,0.728,0.944,0.364
4088.97,43.6,34.3,358908.011,3123940.771,2,0.729,0.945,0.362
4088.47,42.9,34.3,358909.011,3123940.771,2,0.727,0.938,0.360
4088.13,42.5,34.3,358910.011,3123940.771,2,0.728,0.940,0.352
4087.86,46.2,34.3,358911.011,3123940.771,2,0.731,0.942,0.345
4087.04,47.8,34.7,358912.011,3123940.771,2,0.725,0.928,0.340
4086.25,46.6,34.9,358913.011,3123940.771,2,0.719,0.912,0.334
4085.38,44.5,35.0,358914.011,3123940.771,2,0.712,0.896,0.338
4084.70,41.7,34.9,358915.011,3123940.771,2,0.708,0.885,0.342
4084.23,40.7,34.5,358916.011,3123940.771,2,0.708,0.882,0.342
4083.77,40.7,32.0,358917.011,3123940.771,2,0.707,0.879,0.342
4083.32,41.3,29.7,358918.011,3123940.771,2,0.707,0.876,0.343
4082.97,42.4,28.8,358919.011,3123940.771,2,0.708,0.875,0.347
4082.55,43.7,28.5,358920.011,3123940.771,2,0.707,0.873,0.350
4082.06,44.1,28.4,358921.011,3123940.771,2,0.705,0.867,0.353
4081.79,44.3,27.9,358922.011,3123940.771,2,0.707,0.868,0.356
4081.50,45.2,27.7,358923.011,3123940.771,2,0.708,0.868,0.362
4081.29,50.7,27.7,358924.011,3123940.771,2,0.711,0.870,0.363
4080.00,55.6,26.4,358925.011,3123940.771,2,0.690,0.840,0.373
4079.15,54.7,26.5,358926.011,3123940.771,2,0.679,0.822,0.380
4078.74,55.2,26.5,358927.011,3123940.771,2,0.676,0.818,0.386
4078.35,63.5,26.2,358928.011,3123940.771,2,0.673,0.814,0.384
